Name,Age,Income,Satisfaction,Feedback
Michael Madden,64.0,60194.07450905272,Low,Neutral
Catherine Armstrong,26.0,52005.29453641781,High,Positive
Jordan Williams,18.0,84840.47244131617,High,
Veronica Scott,25.0,50677.50464368646,Medium,Neutral
Kimberly Young,63.0,32759.91701855903,Low,Neutral
Linda Williams,69.0,49947.78790920549,Medium,Negative
Christine Pitts,75.0,27595.108295335423,Low,
Alicia Sharp,54.0,51766.822313308476,Low,Positive
Terry Martinez,43.0,31616.18129244191,Low,Positive
James Adams,79.0,52543.529432727126,Medium,
Catherine Munoz,19.0,47822.66520667556,High,Neutral
Steven Clark,33.0,62545.673137445236,High,Neutral
Amanda Avila,57.0,60065.75750128762,High,Neutral
Danielle Lopez,46.0,52682.08850949042,High,
Ronnie Wilson,37.0,47437.36779025359,Low,
Kyle Sanders,,68131.04564622573,Low,
Lisa Mckenzie,65.0,31413.174212639395,High,
Pamela Parker,63.0,63811.73385479625,Medium,
Tina Williams,37.0,,High,Positive
Laura Douglas,55.0,54050.17411274293,High,Neutral
Alan Ochoa,34.0,54311.89887895374,High,
Donna Saunders,,37422.07797592564,,
Christopher Padilla,33.0,64028.739234375826,Medium,Positive
Sara Allen,65.0,55713.33746405516,Low,
Kayla Hale,57.0,55345.322307327304,Low,Neutral
Daniel Morrison,56.0,77052.6307196507,High,Negative
Courtney Wright,63.0,53451.58341883281,Medium,Negative
Michelle Martinez,57.0,37815.42939851525,Medium,
Sharon Mora,70.0,10501.837131485001,Low,
Alexis Clark,23.0,25438.242465893505,Medium,Positive
Andrea Davis,72.0,60207.526699636175,Low,
Brett Campbell,41.0,57311.34750961838,High,Neutral
Abigail Price,,41229.29776533626,Low,Positive
Brandon Roberts,35.0,54242.18455576549,Low,Neutral
Joel Hampton,78.0,59058.56673908763,Medium,Negative
William Liu,73.0,56314.05316147646,Low,
Joseph Lewis,75.0,48196.20807654915,Medium,Positive
Eric Thomas,,,High,Neutral
Jennifer Parker,21.0,67823.01424015997,Medium,Negative
Michael Crosby,21.0,27989.85631603271,Medium,
Joseph White,58.0,,High,
Rachel Johnson,28.0,58016.40342486866,Low,
Sara Martinez,32.0,60278.16402930076,Low,Negative
Emily Edwards,77.0,67399.00754920987,Low,Negative
Pamela Brown,26.0,61854.64174739753,Low,Positive
Kelsey Hunter,33.0,56062.15491664327,High,Negative
Danielle Palmer,62.0,126367.7086631701,Low,Positive
Christian Davidson,21.0,45916.817431905925,Low,Negative
Edward Simpson,52.0,37280.59790666323,High,Positive
Collin Morales,51.0,39983.94273264035,Low,
Alexandra Mack,38.0,53214.35033171921,Low,Negative
Brian Ortega,66.0,45446.44330416838,Low,Negative
Joanna Lopez,74.0,66542.89668061055,Low,Neutral
Lori Davidson,55.0,,Low,Positive
Melissa Campbell,,64134.4043353416,Medium,Positive
Trevor Walker,45.0,73097.17543713312,Low,Positive
Mrs. Kimberly Kennedy,,56562.23789711705,Low,
Robert Smith,26.0,42174.81678806567,High,Negative
Taylor Gonzalez,29.0,61149.816188587494,High,Positive
Derek Lewis,18.0,75441.05491028007,Low,Neutral
Jamie Wood,43.0,42869.72669757155,Medium,Positive
Derek Shaw,36.0,70935.92364134859,Low,Positive
Michael Young,50.0,,Low,Neutral
Phillip Duncan,24.0,70462.11801793013,Medium,Neutral
Kimberly Griffin,41.0,60688.79245658275,High,Negative
Mary Keller,38.0,68269.35840381031,Medium,
Alisha Walker,53.0,75909.22995528666,High,Neutral
Elaine Nelson,,,High,Positive
Lindsey Sullivan MD,30.0,,Low,
Joel Johnson,72.0,65103.090985829804,Medium,
Regina Cannon,25.0,,Medium,Positive
Jason Mitchell,57.0,,Medium,
Ashley Barnes,48.0,52270.80275433128,High,Neutral
Mark Jackson,21.0,72899.99210509587,High,Positive
Alexandra Thomas,47.0,42434.67352971004,High,Negative
Kevin Turner,45.0,59895.83627388017,Medium,Positive
Carrie Gross,51.0,33301.7373249753,,
Mary Wiggins,40.0,63757.87755027131,Low,Positive
Deborah Taylor,62.0,21227.837006707883,High,Negative
Sarah Garcia,60.0,52287.81766000828,High,Neutral
Richard Carroll,60.0,39155.30473088959,Low,Positive
Thomas Foster,43.0,35835.35636133085,Medium,Negative
Angela Thompson,20.0,46075.543756980085,High,Neutral
Julie Heath,69.0,,Medium,Negative
Linda Griffin,59.0,60028.24547091672,High,Positive
Sheila Warren,27.0,94084.83091985314,Low,Neutral
David Williamson III,56.0,58399.72136423173,High,
Antonio Lewis,22.0,43389.449201559495,Medium,Negative
Jonathan Lee,28.0,68124.60370044436,Low,Positive
Stephen Carter,55.0,52506.372403860936,High,Neutral
Matthew Cuevas,48.0,48862.58125770281,Low,Positive
Kenneth Ramsey,47.0,39786.406516328,High,Neutral
Pedro Fowler,,65649.58927584326,Low,Negative
Linda Marquez,20.0,41717.632179909255,Low,Neutral
Cynthia Bowman,49.0,77880.06046979346,,Positive
Dr. Kristie Roberts PhD,22.0,29254.31725005337,Medium,
Jody Miller,28.0,50085.56023708604,Medium,Neutral
Laurie Bailey,64.0,64802.809705177955,High,Negative
